CMDLINE C:\Users\Aeder\AppData\Local\Programs\Python\Python310\python.exe Run_test.py
MEM 1.480469 1654972658.9691
MEM 8.640625 1654972659.0861
MEM 14.351562 1654972659.1911
MEM 24.019531 1654972659.3031
MEM 32.472656 1654972659.4141
MEM 41.105469 1654972659.5262
MEM 45.679688 1654972659.6361
MEM 48.546875 1654972659.7472
MEM 50.796875 1654972659.8572
MEM 52.046875 1654972659.9682
MEM 55.042969 1654972660.0785
MEM 57.253906 1654972660.1848
MEM 61.417969 1654972660.2968
MEM 68.902344 1654972660.4108
MEM 75.589844 1654972660.5148
MEM 81.105469 1654972660.6248
MEM 89.511719 1654972660.7358
MEM 97.167969 1654972660.8478
MEM 102.328125 1654972660.9548
MEM 108.976562 1654972661.0658
MEM 112.363281 1654972661.1768
MEM 117.621094 1654972661.2888
MEM 118.031250 1654972661.3978
MEM 118.574219 1654972661.5098
MEM 118.828125 1654972661.6228
MEM 118.980469 1654972661.7338
MEM 118.980469 1654972661.8428
MEM 119.011719 1654972661.9518
MEM 119.078125 1654972662.0638
MEM 119.175781 1654972662.1708
MEM 119.312500 1654972662.2818
MEM 119.320312 1654972662.3908
MEM 119.558594 1654972662.5008
MEM 119.871094 1654972662.6108
MEM 119.949219 1654972662.7213
MEM 120.195312 1654972662.8303
MEM 120.398438 1654972662.9433
MEM 120.429688 1654972663.0523
MEM 120.691406 1654972663.1623
MEM 121.464844 1654972663.2743
MEM 121.859375 1654972663.3863
MEM 122.097656 1654972663.4973
MEM 123.273438 1654972663.6082
MEM 123.273438 1654972663.7182
MEM 124.546875 1654972663.8282
MEM 124.898438 1654972663.9362
MEM 126.230469 1654972664.0462
MEM 127.000000 1654972664.1582
MEM 127.816406 1654972664.2692
MEM 128.421875 1654972664.3822
MEM 128.921875 1654972664.4922
MEM 130.296875 1654972664.6032
MEM 131.070312 1654972664.7152
MEM 131.714844 1654972664.8292
MEM 132.230469 1654972664.9372
MEM 133.035156 1654972665.0492
MEM 133.835938 1654972665.1592
MEM 134.050781 1654972665.2682
MEM 134.050781 1654972665.3792
MEM 134.050781 1654972665.4912
MEM 134.050781 1654972665.6022
MEM 134.050781 1654972665.7142
MEM 134.589844 1654972665.8252
MEM 135.441406 1654972665.9360
MEM 135.953125 1654972666.0460
MEM 137.085938 1654972666.1580
MEM 137.085938 1654972666.2630
MEM 137.085938 1654972666.3730
MEM 137.085938 1654972666.4830
MEM 137.656250 1654972666.5940
MEM 138.328125 1654972666.7040
MEM 138.984375 1654972666.8120
MEM 139.906250 1654972666.9240
MEM 137.816406 1654972667.0310
MEM 137.945312 1654972667.1410
MEM 137.984375 1654972667.2520
MEM 138.101562 1654972667.3630
MEM 138.929688 1654972667.4740
MEM 139.164062 1654972667.5840
MEM 139.250000 1654972667.6960
MEM 139.406250 1654972667.8080
MEM 139.488281 1654972667.9200
MEM 139.800781 1654972668.0290
MEM 139.910156 1654972668.1380
MEM 139.910156 1654972668.2480
MEM 139.910156 1654972668.3580
MEM 139.949219 1654972668.4690
MEM 139.957031 1654972668.5780
MEM 140.050781 1654972668.6900
MEM 140.226562 1654972668.7962
MEM 140.226562 1654972668.9063
MEM 140.296875 1654972669.0152
MEM 140.296875 1654972669.1253
MEM 140.296875 1654972669.2363
MEM 140.296875 1654972669.3472
MEM 140.332031 1654972669.4583
MEM 140.406250 1654972669.5702
MEM 140.406250 1654972669.6803
MEM 140.406250 1654972669.7913
MEM 140.679688 1654972669.9023
MEM 137.617188 1654972670.0133
MEM 137.617188 1654972670.1242
MEM 137.617188 1654972670.2343
MEM 137.617188 1654972670.3433
MEM 137.664062 1654972670.4542
MEM 137.730469 1654972670.5612
MEM 137.730469 1654972670.6723
MEM 137.847656 1654972670.7842
MEM 138.007812 1654972670.8942
MEM 139.390625 1654972671.0052
MEM 139.390625 1654972671.1172
MEM 139.390625 1654972671.2302
MEM 139.390625 1654972671.3402
MEM 139.390625 1654972671.4512
MEM 139.390625 1654972671.5602
MEM 139.390625 1654972671.6712
MEM 139.390625 1654972671.7802
MEM 139.503906 1654972671.8912
MEM 139.503906 1654972672.0032
MEM 139.578125 1654972672.1132
MEM 139.660156 1654972672.2242
MEM 140.593750 1654972672.3352
MEM 140.593750 1654972672.4452
